#,Project name,Client,Type,Domain,Industry,Problem statement,Solution provided,Outcome,Key Features,Technology used,Team size,Duration,Status,SPOC,Migration
, Intensive RUn-Through,,PDF-Case Study,Quality Assurance,Insurance,"Our client, an insurance company, had existing internal applications for employees. However, they had no quality assurance in their development and deployment process so the features were often breaking. The end-users were doing cursory quality checks but they were not experts nor did they know how to do detailed checks of every aspect of the application. ","In Time Tec came alongside the client and added onshore and offshore QA engineers to their existing teams. When the client's developers had finished coding, our engineers did an intense and thorough run-through of the application to ensure the expected results were produced. The In Time Tec team also worked to try to break the application to reveal any vulnerabilities. ","FREE UP TIME: 
The end-users no longer have to do quality assurance checks. 
QUALITY IMPROVEMENT: 
With more in-depth QA, quality of all applications has improved. 
",,,,,,,
, Automated Data Validation,,PDF-Case Study,Test Automation,AgriBusiness,"Our client, an agribusiness, was migrating from an old tech, Data Manager scheduler and SQL stored procedures, to the new tech, Control-M Scheduler and Microsoft SSIS Packages. They wanted to make sure that the new tool was operating the same way as the older tool. It was of the utmost importance that nothing was changed or lost in the migration. The way to ensure this was to run both tools and compare the data. The client knew it was a near impossible task for a human to compare the millions of rows of data. 
","In Time Tec built a custom tool to compare the data automatically. Every week, we ran tests. They would pass or fail and we would offer solutions for the failed tests. ","We were able to alleviate the tediousness of someone manually comparing the data from one tool to another. We successfully moved them over to a new tool, caught defects early on, and automated it all along the way. 
",,,,,,,
,Client Portal,,PDF-Case Study,UX/UI,IT,"Our client, an information technology company, had begun offering devices as a service, or DaaS. They needed a portal for clients to manage the contracts, renewals, and requests for new equipment. Initially, the technologists designed the tool from the client requests, which often meant that no one talked about UI design. This led to miscommunications about the look and feel of the portal and work was often redone. ",In Time Tec brought a UI designer onto the client's team. This person was responsible for mocking up the design of the tool before the developers even began to code. They worked directly with both the client and the developers to ensure everyone was on the same page for the vision of the portal,"ON BRAND: 
The new portal was on brand for the client's other tools and marketing. 
MORE TIME EFFICIENCY: Saved both the client & developers time by introducing a designer to mock up features before they were coded, instead of the client wanting changes after. CREATED CLARITY: 
All people involved knew exactly what to expect with the look and feel of the portal. 
",,,,,,,
,,,Core Capabilities,Details,Services by Industry,codes,,,,,,,,,
,NA,,Web Development,"1. Architecture
2. Backend development
3. Frontend development
4. UI/UX design","1. Public sector
2. Education
3. Helathcare
4. Printing
5. B2C","NAICS:
1. 541511- Custom Computer Programming Services
2. 511210- Software Publishers
3. 541512- Computer Software Consulting Services
4. 541519- Other Computer Related Services
5. 541513- Computer Facilities Management
DUNS:
016023720",,,,,,,,,
,,,App Development,"1. Native/Hybrid
2. UI/UX design",,,,,,,,,,,
,,,Data,"1. Data Engineering
2. Data Science
2. Visual reporting",,,,,,,,,,,
,,,QA Test Automation,"1. QA Architecture
2. Test plan development
3. Web, Desktop, Mobile testing
4. Cross-browser automated testing
5. Performance and scalability testing",,,,,,,,,,,
,,,Devops,"1. Continuous high-quality development
2. Seamless releases and launches",,,,,,,,,,,
,,,Cybersecurity,"1. Penetration testing
2. Vulnerability analysis
3. Security hardening and monitoring
4. DevSecops pipeline setup",,,,,,,,,,,
,Simplot Sharepoint Forms,Simplot,Project,,Logistics​,"Simplot had their logistics solutions developed in Sharepoint 2013 which eventually needed to digitalize and that’s where the Phase 1 started, ITT is migrating the existing Sharepoint 2013 application to Microsoft Power platform.","​ ITT proposed a Microsoft Power Platform solution to migrate the existing SharePoint forms to Canvas app, which enables users to have more usable experience.​

For reporting part PowerBI tool being used which gives user more detailed report with good user experience. ​",A customized app to manage Simplot's Fixed Assets details and approval process along with few other apps with a more user-friendly reporting feature.,,Power BI,,,,kuldeep,Sharepoint 2013 to Microsoft power platform
,"Automated Process for quick Customer Onboarding ​
",Truckstop,Project,Salesforce,Transport,"Truckstop provides services for logistics and transportation, Carriers , Brokers and Shippers uses their application. To onboard new clients, sales team has to preform different security checks which is time consuming process. ​","
Worked on implementation for automation where process collects data from different sources and perform security check automatically (We used Apex and LWC , batch processing, we have consumed few external APIs to validate the authorised customer this data we get from open-source APIs by US government. Created UIs for user interactions)​","Quick onboarding of customers. Earlier it was a manual process which was time taking. Automation helped in make the process faster and reducing scope for human errors.​

Sales team has access to all data required in Salesforce itself no need to login and manually verify details",,,,,,Gnanraj,
,Idaho Stars,,,,,"IdahoSTARS is the leading expert and resource  for quality child care in Idaho. They empower  parents and early childhood professionals to  make safe, healthy, nurturing, and educational  child care a top priority. They support child  
care professionals to continually improve early  care and education practices
Challenge : IdahoSTARS used to rely on paper-based  systems to complete coaching, training,  licensing, and record keeping. This resulted in  a slow turn-around time–ranging from weeks  to months–for child care providers to get  licensed. The way the data was stored also  contributed to lengthy turnaround times.  Having five disconnected databases meant  that an update in one resulted in a manual  update in the remaining four. Permission  restrictions were a blocker as well. Only  select users could access the data, creating  bottlenecks in the workflows and to top it all  off, the software IdahoSTARS had been using  for years was soon to be obsolete.","In Time Tec created RISE, a web application  (integrated with UX/UI best practices) that  was easier to access, easier to use, more  intuitive, and more reliable. RISE consolidates  the data in one place for robust, dynamic  reporting that is consistent for every process.  It also gives customers access and control of  their own data. We focused on optimizing the  workflow so IdahoSTARS could provide the  value, training, and advice they were looking  to provide in order to improve the education  experience for young kids. 
","Created a web development team for  IdahoSTARS so we can support them to  roll out new features. 
Provided a five-person offshore team to  work closely with IdahoSTARS. 
RISE has processed, approved, and paid  trainers for 800+ scholarships within the  first year. 
Minimized turn-around time by 4-6 weeks for child care provider licensing and  
incentives. 
Gave providers control over their personal administrative tasks freeing up RISE coaches  to focus on coaching instead of processes. IdahoSTARS is no longer the gatekeeper of  the provider’s information. 
Planning to create a mobile-friendly 
application of RISE giving access to  
providers in the palm of their hands. 
",,,,,,,
,Transparent IDAHO,,,,,"The Idaho legislature passed a bill that required local government financial data be available  on the State Controller’s Transparent Idaho  website. The State Controller’s Office 
(SCO) faced three significant challenges with  implementing this bill, in addition to a very  short deadline for completion. A large volume  of data from over 1,300 state entities had to be  imported and organized. The second challenge  - creating a website where the information  was easily accessed and clearly understood  by Idaho citizens. The third challenge - SCO’s  technical teams were already focused on other  important projects and could not develop the  website within the required time frames. They  needed to find a partner with the expertise to create the solution, augment their team, and drive the project to completion. 
","In Time Tec’s technical teams partnered with  SCO on this project. Our UX/UI design team  conducted field studies, focus groups, and  additional user research to ensure that the  website was intuitive and full-featured. In Time  Tec’s data engineering and analytics team  modeled the large volume of data from Idaho's  1300 local entities to create easy-to-understand  visuals and reports that meet the requirements  of the Local Transparency initiative. Our web  development team used the design and data  analytic features to create a user-friendly, fully  responsive website which provides detailed  financial information and promotes trust  in government. The Idaho State Controller’s  challenges were addressed, the state achieved  its goal of providing transparent financial  reporting, and In Time Tec successfully  partnered with SCO to complete the project on  time and on budget. 
","Engineered user interface to access over 1,300  local government entities’ unique data with an  interactive, visually engaging, web-based platform 
Public access through mobile responsiveness on  any device 
Powerful research tool and interactive reports  generated from disparate data to build trust with  citizens of Idaho 
",,,,,,,
"In Time Tec Overview:
 In Time Tec provides onshore/offshore software development services so that our partners can focus on their strengths and keep their teams focused on the execution and innovation that will propel them forward. We provide breadth and depth in technical resources through our knowledge base and flexible workforce. This expertise is coupled with a commitment to harnessing our culture of execution by delivering immediate ROI to our clients via affordable, long-term software services. 
DIFFERENTIATORS: 
We garner our partners' trust and confidence that we will support them and deliver the highest quality services through the following: 
DELIVERY :
Focus on delivering value. Commitment to our word and delivering on those promises. 
RELATIONSHIPS :
Open and candid communication and dedication to vested 
partnerships. 
VALUES :
Commitment to something bigger than ourselves. Our core values drive everything we do: trust, transparency, integrity, and leadership. 
QUALITY :
Focused on delivering quality and value. 
",,,,,,,,,,,,,,,
